"","FechaInicio","Delito","Categoria","Sexo","Edad","CalidadJuridica","FechaHecho","HoraHecho","HoraInicio","geopoint","AlcaldiaHechos","ColoniaHechos","persona_fisica"
"1","20/12/2019","ROBO A CASA HABITACION SIN VIOLENCIA","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","19/12/2019",16:00:00,03:26:00,"19.367423897,-99.2002892","ALVARO OBREGON","LOMAS DE PLATEROS",TRUE
"2","20/12/2019","LESIONES INTENCIONALES POR GOLPES","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","19/12/2019",17:00:00,03:50:00,"19.132673472,-99.1848566757","TLALPAN","PARRES EL GUARDA",TRUE
"3","20/12/2019","DESAPARICION FORZADA DE PERSONAS","DELITO DE BAJO IMPACTO","Masculino",36,"VICTIMA","19/12/2019",12:30:00,04:12:00,"19.3800069441,-99.2121711759","ALVARO OBREGON","GOLONDRINAS 1A SECCIÓN",TRUE
"4","20/12/2019","DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL","DELITO DE BAJO IMPACTO","Femenino",NA,"VICTIMA Y DENUNCIANTE","01/12/2019",01:00:00,04:39:00,"19.4403246412,-99.0972838597","VENUSTIANO CARRANZA","ROMERO RUBIO",TRUE
"5","20/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",24,"VICTIMA Y DENUNCIANTE","20/12/2019",00:00:00,05:03:00,"19.3738296017,-99.279684614","CUAJIMALPA DE MORELOS","LA NAVIDAD",TRUE
"6","20/12/2019","ABUSO SEXUAL","DELITO DE BAJO IMPACTO","Femenino",36,"VICTIMA Y DENUNCIANTE","19/12/2019",17:30:00,05:41:00,"19.3022729242,-99.1894225942","TLALPAN","PARQUE DEL PEDREGAL",TRUE
"7","20/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Masculino",53,"VICTIMA Y DENUNCIANTE","18/12/2019",16:00:00,06:53:00,"19.5282905275,-99.1565738077","GUSTAVO A MADERO","RESIDENCIAL ACUEDUCTO DE GUADALUPE",TRUE
"8","20/12/2019","TENTATIVA DE EXTORSION","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","21/11/2019",10:00:00,07:30:00,"19.4334105118,-99.2159753607","MIGUEL HIDALGO","REFORMA SOCIAL",TRUE
"9","20/12/2019","ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO CON VIOLENCIA","DELITO DE BAJO IMPACTO","Masculino",33,"VICTIMA Y DENUNCIANTE","04/12/2019",06:40:00,08:11:00,"19.4142650778,-99.2171406001","MIGUEL HIDALGO","LOMAS DE CHAPULTEPEC I SECCIÓN",TRUE
"10","20/12/2019","PERDIDA DE LA VIDA POR PARO CARDIACO","HECHO NO DELICTIVO","Masculino",50,"CADAVER","20/12/2019",06:55:00,08:43:00,"19.4884343259,-99.1732977947","AZCAPOTZALCO","EL JAGÜEY",TRUE
"11","20/12/2019","ROBO DE OBJETOS","DELITO DE BAJO IMPACTO","Femenino",33,"VICTIMA Y DENUNCIANTE","09/12/2019",08:15:00,08:52:00,"19.431430298,-99.1860534703","MIGUEL HIDALGO","POLANCO",TRUE
"12","20/12/2019","ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA","ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA","Masculino",34,"VICTIMA Y DENUNCIANTE","20/12/2019",07:00:00,09:28:00,"19.3775720483,-99.2007773176","ALVARO OBREGON","MINAS CRISTO REY",TRUE
"13","20/12/2019","FRAUDE","DELITO DE BAJO IMPACTO","Masculino",54,"VICTIMA Y DENUNCIANTE","11/12/2019",15:21:00,09:31:00,"19.4737030417,-99.1920817299","AZCAPOTZALCO","SANTA CRUZ ACAYUCAN",TRUE
"14","20/12/2019","FRAUDE","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","05/09/2019",12:00:00,09:31:00,"19.4751985901,-99.1613709649","AZCAPOTZALCO","POTRERO DEL LLANO",TRUE
"15","20/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Masculino",55,"VICTIMA Y DENUNCIANTE","17/12/2019",06:00:00,09:39:00,"19.4297197848,-99.0625958411","VENUSTIANO CARRANZA","ARENAL PUERTO AÉREO",TRUE
"16","20/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",36,"VICTIMA Y DENUNCIANTE","14/12/2019",19:00:00,09:40:00,"19.3688950202,-99.1818483199","BENITO JUAREZ","INSURGENTES MIXCOAC",TRUE
"17","20/12/2019","FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO","DELITO DE BAJO IMPACTO","Femenino",41,"VICTIMA Y DENUNCIANTE","07/12/2019",10:30:00,09:52:00,"19.309266003,-99.1710201047","COYOACAN","VILLA PANAMERICANA",TRUE
"18","20/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",39,"VICTIMA Y DENUNCIANTE","19/12/2019",17:00:00,10:01:00,"19.4404856004,-99.0796827002","VENUSTIANO CARRANZA","PEÑÓN DE LOS BAÑOS",TRUE
"19","20/12/2019","RESISTENCIA DE PARTICULARES (SE OPONGA O RESISTA)","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","20/12/2019",09:00:00,10:03:00,"19.4448191124,-99.1449632902","CUAUHTEMOC","GUERRERO",TRUE
"20","20/12/2019","ENCUBRIMIENTO","DELITO DE BAJO IMPACTO",NA,NA,"VICTIMA","20/12/2019",09:30:00,10:10:00,"19.4795273634,-99.1891901461","AZCAPOTZALCO","SAN FRANCISCO TETECALA",FALSE
"21","20/12/2019","ROBO A NEGOCIO SIN VIOLENCIA","DELITO DE BAJO IMPACTO",NA,NA,"VICTIMA","14/12/2019",12:00:00,10:19:00,"19.3579203981,-99.1983715097","ALVARO OBREGON","LOS ALPES",FALSE
"22","20/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Masculino",39,"VICTIMA Y DENUNCIANTE","16/12/2019",00:00:00,10:37:00,"19.3232514188,-99.21941098","LA MAGDALENA CONTRERAS","SAN JERÓNIMO LÍDICE",TRUE
"23","20/12/2019","ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA","DELITO DE BAJO IMPACTO","Masculino",67,"VICTIMA Y DENUNCIANTE","11/12/2019",14:00:00,10:41:00,"19.4554248094,-99.1610260203","CUAUHTEMOC","ATLAMPA",TRUE
"24","20/12/2019","NARCOMENUDEO POSESION SIMPLE","DELITO DE BAJO IMPACTO",NA,NA,"VICTIMA","20/12/2019",10:30:00,10:48:00,"19.444553499,-99.0869058354","VENUSTIANO CARRANZA","PENSADOR MEXICANO",FALSE
"25","20/12/2019","AMENAZAS","DELITO DE BAJO IMPACTO","Masculino",55,"VICTIMA Y DENUNCIANTE","19/12/2019",16:00:00,10:53:00,"19.2736356711,-99.2375913305","TLALPAN","BOSQUES DEL PEDREGAL",TRUE
"26","20/12/2019","LESIONES CULPOSAS","DELITO DE BAJO IMPACTO","Femenino",NA,"LESIONADO","20/12/2019",00:56:00,10:53:00,"19.3929853823,-99.1728553204","BENITO JUAREZ","NAPOLES",TRUE
"27","20/12/2019","LESIONES CULPOSAS","DELITO DE BAJO IMPACTO","Masculino",NA,"LESIONADO","20/12/2019",00:56:00,10:53:00,"19.3929853823,-99.1728553204","BENITO JUAREZ","NAPOLES",TRUE
"28","20/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",35,"VICTIMA Y DENUNCIANTE","20/12/2019",08:40:00,11:00:00,"19.44801214,-99.19320513","MIGUEL HIDALGO","REFORMA PENSIL",TRUE
"29","20/12/2019","ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA","DELITO DE BAJO IMPACTO","Femenino",41,"VICTIMA Y DENUNCIANTE","19/12/2019",07:15:00,11:01:00,"19.3756650077,-99.2023805499","ALVARO OBREGON","OLIVAR DEL CONDE 1A SECCIÓN",TRUE
"30","20/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",49,"VICTIMA Y DENUNCIANTE","19/12/2019",09:20:00,11:07:00,"19.4475954989,-99.20088373","MIGUEL HIDALGO","5 DE MAYO",TRUE
"31","20/12/2019","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA","Femenino",25,"VICTIMA Y DENUNCIANTE","20/12/2019",07:40:00,11:08:00,"19.3403877016,-99.0492215798","IZTAPALAPA","SANTA CRUZ MEYEHUALCO",TRUE
"32","20/12/2019","ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO","DELITO DE BAJO IMPACTO","Femenino",38,"VICTIMA Y DENUNCIANTE","19/12/2019",20:00:00,11:12:00,"19.3678551938,-99.1664555704","BENITO JUAREZ","SANTA CRUZ ATOYAC",TRUE
"33","20/12/2019","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA",NA,NA,"VICTIMA","15/12/2019",21:30:00,11:18:00,"19.3984713397,-99.0630963603","IZTACALCO","AGRÍCOLA ORIENTAL",FALSE
"34","20/12/2019","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA","Masculino",26,"VICTIMA Y DENUNCIANTE","20/12/2019",10:50:00,11:18:00,"19.399892468,-99.1134038399","IZTACALCO","GRANJAS MÉXICO",TRUE
"35","20/12/2019","DISPAROS DE ARMA DE FUEGO","DELITO DE BAJO IMPACTO","Femenino",59,"VICTIMA Y DENUNCIANTE","19/12/2019",22:05:00,11:19:00,"19.2343307612,-99.0725270699","XOCHIMILCO","TECACALANCO",TRUE
"36","20/12/2019","ROBO A NEGOCIO SIN VIOLENCIA","DELITO DE BAJO IMPACTO","Femenino",63,"VICTIMA Y DENUNCIANTE","19/12/2019",20:30:00,11:28:00,"19.4188952908,-99.1715471096","CUAUHTEMOC","ROMA NORTE",TRUE
